,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,377.31954514980316,2022-08-17 17:45:48.300058,2022-08-17 17:46:18.179940,0 days 00:00:29.879882,16,0.1,1.198276232690608e-05,0.95,0.88,0.0028705376803489125,3,256,0.738600327518466,COMPLETE
1,1,301.8614006638527,2022-08-17 17:46:18.222100,2022-08-17 17:46:44.206264,0 days 00:00:25.984164,256,0.2,1.887971975285781e-06,0.98,0.98,0.0008852046651983105,20,256,0.7357233874946396,COMPLETE
2,2,,2022-08-17 17:46:44.226104,,,32,0.3,2.8648178459332384e-06,0.95,0.88,1.4394354016879554e-05,3,32,0.6367317987117518,RUNNING
3,3,,2022-08-17 17:50:30.224464,,,16,0.3,0.0001645842711782447,0.98,0.98,0.0002525205666860105,20,8,0.8723163667310153,RUNNING
4,4,,2022-08-17 17:50:55.469894,,,16,0.3,0.002440099482482141,0.98,0.8,0.21663421567856966,20,128,0.8466316220507755,RUNNING
5,5,-3.253027721752005,2022-08-17 17:51:56.022483,2022-08-17 17:52:18.651857,0 days 00:00:22.629374,1024,0.2,0.00010612754961321464,0.9,0.995,0.000409476791574632,5,128,0.9956821635490996,COMPLETE
6,6,0.20589312577567398,2022-08-17 17:52:18.680129,2022-08-17 17:52:40.095635,0 days 00:00:21.415506,1024,0.3,0.00015103438616953402,1.0,0.99,0.0014872314757040626,3,512,0.723042716735246,COMPLETE
7,7,1.8513404093682766,2022-08-17 17:52:40.118947,2022-08-17 17:53:27.091974,0 days 00:00:46.973027,2048,0.2,6.531828539355404e-08,0.98,0.98,0.11568410044542278,30,32,0.5082726895118547,COMPLETE
8,8,-0.467539687640965,2022-08-17 17:53:27.117273,2022-08-17 17:53:40.098306,0 days 00:00:12.981033,16,0.1,0.07251213517638244,0.95,0.88,1.0218126504570321e-05,3,256,0.898265002132219,PRUNED
9,9,-11.366134198382497,2022-08-17 17:53:40.114473,2022-08-17 17:53:58.678308,0 days 00:00:18.563835,16,0.1,0.013210170169272114,0.95,0.8,0.13083038169622976,10,64,0.6121107686677995,PRUNED
10,10,-0.939775574603118,2022-08-17 17:53:58.692280,2022-08-17 17:54:08.915750,0 days 00:00:10.223470,512,0.1,1.222048916536603e-06,0.99,0.88,0.018708306657548607,3,2048,0.8413227722433232,PRUNED
11,11,1.5307888365496183,2022-08-17 17:54:08.930298,2022-08-17 17:54:25.830681,0 days 00:00:16.900383,8,0.3,1.1433342506750952e-08,0.95,0.88,3.422941195382099e-05,5,1024,0.6437325143267277,PRUNED
12,12,,2022-08-17 17:54:25.846694,2022-08-17 17:54:31.917999,0 days 00:00:06.071305,32,0.1,0.0017477635809161093,0.9,0.8,0.7809463888028297,10,8,0.8425256687913956,PRUNED
13,13,-11.366134198382497,2022-08-17 17:54:31.933375,2022-08-17 17:54:57.775028,0 days 00:00:25.841653,16,0.1,3.940438383044728e-06,0.99,0.99,0.014824410212138704,20,16,0.6259494635322935,PRUNED
14,14,-8.202449134869767,2022-08-17 17:54:57.791894,2022-08-17 17:55:08.927540,0 days 00:00:11.135646,256,0.2,1.854248191331128e-06,0.98,0.98,0.00024364075398070534,20,256,0.7343790385594845,PRUNED
15,15,0.6962664561651764,2022-08-17 17:55:08.942482,2022-08-17 17:55:20.536048,0 days 00:00:11.593566,256,0.2,1.5459666410600872e-05,0.98,0.98,0.003024699364610511,20,256,0.7792336952388745,PRUNED
16,16,0.29349752380653626,2022-08-17 17:55:20.550717,2022-08-17 17:55:32.734914,0 days 00:00:12.184197,256,0.2,3.4551006736121223e-07,1.0,0.995,0.0002548590461695403,30,256,0.7059019523943296,PRUNED
17,17,-7.658795729890699,2022-08-17 17:55:32.748841,2022-08-17 17:56:08.490084,0 days 00:00:35.741243,32,0.3,2.435752825485784e-05,0.98,0.98,0.012351135224070142,20,256,0.7998807626726097,COMPLETE
